epoch,loss,val_loss
1,0.09212292730808258,0.09365148842334747
2,0.08680763840675354,0.08812662214040756
3,0.07998064905405045,0.07537990808486938
4,0.0653882697224617,0.05556364730000496
5,0.04656150937080383,0.03844223916530609
6,0.035712938755750656,0.03048057295382023
7,0.028972437605261803,0.025153733789920807
8,0.02451997995376587,0.020671997219324112
9,0.021081041544675827,0.01778337173163891
10,0.01774550788104534,0.01546950452029705
11,0.01546464767307043,0.013810832984745502
12,0.013811948709189892,0.014434866607189178
13,0.013219432905316353,0.013140039518475533
14,0.01246695313602686,0.012148868292570114
15,0.011688766069710255,0.01124489214271307
16,0.011056921444833279,0.010827531106770039
17,0.010765851475298405,0.010531517677009106
18,0.010415134951472282,0.010220934636890888
19,0.010105855762958527,0.010022151283919811
20,0.00986463762819767,0.00977678969502449
